frame_ind,frame_diff,key_moment,fps
0.0,0,0.0,25.0
1.0,0,0.0,25.0
2.0,0,0.0,25.0
3.0,3911,0.0,25.0
4.0,2496,0.0,25.0
5.0,2471,0.0,25.0
6.0,2365,0.0,25.0
7.0,2218,0.0,25.0
8.0,2251,0.0,25.0
9.0,1693,0.0,25.0
10.0,1471,0.0,25.0
11.0,1625,0.0,25.0
12.0,37,0.0,25.0
13.0,1065,0.0,25.0
14.0,1722,0.0,25.0
15.0,1174,0.0,25.0
16.0,1400,0.0,25.0
17.0,36,0.0,25.0
18.0,1391,0.0,25.0
19.0,469,0.0,25.0
20.0,84,0.0,25.0
21.0,63,0.0,25.0
22.0,0,0.0,25.0
23.0,0,0.0,25.0
24.0,0,0.0,25.0
25.0,229448,1.0,25.0
26.0,10692,0.0,25.0
27.0,82800,0.0,25.0
28.0,2166,0.0,25.0
29.0,111,0.0,25.0
30.0,1647,0.0,25.0
31.0,3611,0.0,25.0
32.0,186,0.0,25.0
33.0,826,0.0,25.0
34.0,1762,0.0,25.0
35.0,1850,0.0,25.0
36.0,0,0.0,25.0
37.0,456,0.0,25.0
38.0,12233,0.0,25.0
39.0,0,0.0,25.0
40.0,341,0.0,25.0
41.0,64949,0.0,25.0
42.0,947,0.0,25.0
43.0,6308,0.0,25.0
44.0,4064,0.0,25.0
45.0,4120,0.0,25.0
46.0,3919,0.0,25.0
47.0,3760,0.0,25.0
48.0,3413,0.0,25.0
49.0,2705,0.0,25.0
50.0,2974,0.0,25.0
51.0,1996,0.0,25.0
52.0,476,0.0,25.0
53.0,835,0.0,25.0
54.0,1244,0.0,25.0
55.0,1926,0.0,25.0
56.0,1559,0.0,25.0
57.0,1588,0.0,25.0
58.0,1243,0.0,25.0
59.0,1111,0.0,25.0
60.0,445,0.0,25.0
61.0,228863,1.0,25.0
62.0,97,0.0,25.0
63.0,3,0.0,25.0
64.0,4388,0.0,25.0
65.0,0,0.0,25.0
66.0,251,0.0,25.0
67.0,972,0.0,25.0
68.0,285,0.0,25.0
69.0,716,0.0,25.0
70.0,1643,0.0,25.0
71.0,0,0.0,25.0
72.0,0,0.0,25.0
73.0,7799,0.0,25.0
74.0,2830,0.0,25.0
75.0,0,0.0,25.0
76.0,382,0.0,25.0
77.0,0,0.0,25.0
78.0,2447,0.0,25.0
79.0,3800,0.0,25.0
80.0,2856,0.0,25.0
81.0,2844,0.0,25.0
82.0,2869,0.0,25.0
83.0,2679,0.0,25.0
84.0,2227,0.0,25.0
85.0,1857,0.0,25.0
86.0,1788,0.0,25.0
87.0,417,0.0,25.0
88.0,450,0.0,25.0
89.0,903,0.0,25.0
90.0,1283,0.0,25.0
91.0,1537,0.0,25.0
92.0,615,0.0,25.0
93.0,1208,0.0,25.0
94.0,607,0.0,25.0
95.0,793,0.0,25.0
96.0,6,0.0,25.0
97.0,0,0.0,25.0
98.0,0,0.0,25.0
99.0,0,0.0,25.0
100.0,0,0.0,25.0
101.0,0,0.0,25.0
102.0,0,0.0,25.0
103.0,0,0.0,25.0
104.0,0,0.0,25.0
105.0,0,0.0,25.0
106.0,0,0.0,25.0
107.0,0,0.0,25.0
108.0,0,0.0,25.0
109.0,230400,1.0,25.0
110.0,0,0.0,25.0
111.0,0,0.0,25.0
112.0,697,0.0,25.0
113.0,1276,0.0,25.0
114.0,969,0.0,25.0
115.0,1448,0.0,25.0
116.0,1640,0.0,25.0
117.0,1503,0.0,25.0
118.0,1550,0.0,25.0
119.0,2278,0.0,25.0
120.0,2069,0.0,25.0
121.0,6069,0.0,25.0
122.0,3112,0.0,25.0
123.0,4668,0.0,25.0
124.0,3978,0.0,25.0
