frame_ind,frame_diff,key_moment,fps
0.0,0,0.0,30.0
1.0,520406,0.0,30.0
2.0,97,0.0,30.0
3.0,322505,0.0,30.0
4.0,332478,0.0,30.0
5.0,317892,0.0,30.0
6.0,286354,0.0,30.0
7.0,7729,0.0,30.0
8.0,359165,0.0,30.0
9.0,309156,0.0,30.0
10.0,313696,0.0,30.0
11.0,278941,0.0,30.0
12.0,3867,0.0,30.0
13.0,351339,0.0,30.0
14.0,318337,0.0,30.0
15.0,303235,0.0,30.0
16.0,274951,0.0,30.0
17.0,739,0.0,30.0
18.0,393711,0.0,30.0
19.0,301551,0.0,30.0
20.0,304300,0.0,30.0
21.0,261485,0.0,30.0
22.0,16517,0.0,30.0
23.0,330473,0.0,30.0
24.0,306577,0.0,30.0
25.0,253099,0.0,30.0
26.0,44600,0.0,30.0
27.0,336682,0.0,30.0
28.0,53970,0.0,30.0
29.0,274396,0.0,30.0
30.0,220604,0.0,30.0
31.0,319807,0.0,30.0
32.0,221979,0.0,30.0
33.0,27322,0.0,30.0
34.0,245269,0.0,30.0
35.0,215099,0.0,30.0
36.0,199904,0.0,30.0
37.0,149895,0.0,30.0
38.0,76045,0.0,30.0
39.0,139055,0.0,30.0
40.0,95461,0.0,30.0
41.0,64117,0.0,30.0
42.0,44627,0.0,30.0
43.0,7507,0.0,30.0
44.0,49646,0.0,30.0
45.0,38870,0.0,30.0
46.0,38651,0.0,30.0
47.0,37231,0.0,30.0
48.0,16445,0.0,30.0
49.0,36950,0.0,30.0
50.0,67264,0.0,30.0
51.0,51546,0.0,30.0
52.0,4848,0.0,30.0
53.0,6807,0.0,30.0
54.0,49190,0.0,30.0
55.0,41601,0.0,30.0
56.0,58293,0.0,30.0
57.0,64502,0.0,30.0
58.0,4345,0.0,30.0
59.0,38657,0.0,30.0
60.0,69989,0.0,30.0
61.0,91118,0.0,30.0
62.0,82173,0.0,30.0
63.0,413,0.0,30.0
64.0,66037,0.0,30.0
65.0,59827,0.0,30.0
66.0,54397,0.0,30.0
67.0,644135,1.0,30.0
68.0,35,0.0,30.0
69.0,119159,0.0,30.0
70.0,155969,0.0,30.0
71.0,156564,0.0,30.0
72.0,162508,0.0,30.0
73.0,181518,0.0,30.0
74.0,55732,0.0,30.0
75.0,174338,0.0,30.0
76.0,199296,0.0,30.0
77.0,212570,0.0,30.0
78.0,212687,0.0,30.0
79.0,729,0.0,30.0
80.0,222121,0.0,30.0
81.0,227987,0.0,30.0
82.0,241959,0.0,30.0
83.0,281852,0.0,30.0
84.0,786,0.0,30.0
85.0,8926,0.0,30.0
86.0,277340,0.0,30.0
87.0,261240,0.0,30.0
88.0,259961,0.0,30.0
89.0,407,0.0,30.0
90.0,289099,0.0,30.0
91.0,254364,0.0,30.0
92.0,271247,0.0,30.0
93.0,262934,0.0,30.0
94.0,774,0.0,30.0
95.0,340507,0.0,30.0
96.0,266747,0.0,30.0
97.0,243505,0.0,30.0
98.0,266832,0.0,30.0
99.0,508,0.0,30.0
100.0,261655,0.0,30.0
101.0,1801,0.0,30.0
102.0,365667,0.0,30.0
103.0,803,0.0,30.0
104.0,480,0.0,30.0
105.0,386203,0.0,30.0
106.0,326211,0.0,30.0
107.0,290471,0.0,30.0
108.0,245655,0.0,30.0
109.0,51403,0.0,30.0
110.0,340165,0.0,30.0
111.0,258534,0.0,30.0
112.0,224949,0.0,30.0
113.0,149388,0.0,30.0
114.0,157883,0.0,30.0
115.0,58337,0.0,30.0
116.0,174697,0.0,30.0
117.0,153690,0.0,30.0
118.0,159508,0.0,30.0
119.0,252600,0.0,30.0
120.0,105434,0.0,30.0
121.0,235461,0.0,30.0
122.0,282883,0.0,30.0
123.0,236144,0.0,30.0
124.0,250760,0.0,30.0
125.0,75148,0.0,30.0
126.0,247936,0.0,30.0
127.0,197928,0.0,30.0
128.0,83412,0.0,30.0
129.0,126766,0.0,30.0
130.0,389,0.0,30.0
131.0,130462,0.0,30.0
132.0,1420,0.0,30.0
133.0,224959,0.0,30.0
134.0,305172,0.0,30.0
135.0,402,0.0,30.0
136.0,2069,0.0,30.0
137.0,332302,0.0,30.0
138.0,130386,0.0,30.0
139.0,276679,0.0,30.0
140.0,7277,0.0,30.0
141.0,299391,0.0,30.0
142.0,282622,0.0,30.0
143.0,270576,0.0,30.0
144.0,247735,0.0,30.0
145.0,40869,0.0,30.0
146.0,297427,0.0,30.0
147.0,277241,0.0,30.0
148.0,275374,0.0,30.0
149.0,238525,0.0,30.0
150.0,161179,0.0,30.0
151.0,299027,0.0,30.0
152.0,287479,0.0,30.0
153.0,265430,0.0,30.0
154.0,248170,0.0,30.0
155.0,34679,0.0,30.0
156.0,299273,0.0,30.0
157.0,295522,0.0,30.0
158.0,283067,0.0,30.0
159.0,241464,0.0,30.0
160.0,356405,0.0,30.0
161.0,3022,0.0,30.0
162.0,29419,0.0,30.0
163.0,309594,0.0,30.0
164.0,291643,0.0,30.0
165.0,248537,0.0,30.0
166.0,6804,0.0,30.0
167.0,334811,0.0,30.0
168.0,7446,0.0,30.0
169.0,330559,0.0,30.0
170.0,4412,0.0,30.0
171.0,15355,0.0,30.0
172.0,515153,0.0,30.0
173.0,277610,0.0,30.0
174.0,253515,0.0,30.0
175.0,233494,0.0,30.0
176.0,4934,0.0,30.0
177.0,278247,0.0,30.0
178.0,101418,0.0,30.0
179.0,251709,0.0,30.0
180.0,11523,0.0,30.0
181.0,9333,0.0,30.0
182.0,321537,0.0,30.0
183.0,258430,0.0,30.0
184.0,241607,0.0,30.0
185.0,204117,0.0,30.0
186.0,126,0.0,30.0
187.0,288018,0.0,30.0
188.0,318700,0.0,30.0
189.0,312520,0.0,30.0
190.0,289988,0.0,30.0
191.0,471,0.0,30.0
192.0,330313,0.0,30.0
193.0,315955,0.0,30.0
194.0,283654,0.0,30.0
195.0,295148,0.0,30.0
196.0,1186,0.0,30.0
197.0,301603,0.0,30.0
198.0,275017,0.0,30.0
199.0,303682,0.0,30.0
200.0,280753,0.0,30.0
201.0,1784,0.0,30.0
202.0,383742,0.0,30.0
203.0,293564,0.0,30.0
204.0,343314,0.0,30.0
205.0,342298,0.0,30.0
206.0,4705,0.0,30.0
207.0,14184,0.0,30.0
208.0,391529,0.0,30.0
209.0,316850,0.0,30.0
210.0,285653,0.0,30.0
211.0,256401,0.0,30.0
212.0,20111,0.0,30.0
213.0,259478,0.0,30.0
214.0,329864,0.0,30.0
215.0,316838,0.0,30.0
216.0,336579,0.0,30.0
217.0,26175,0.0,30.0
218.0,336617,0.0,30.0
219.0,276412,0.0,30.0
220.0,346707,0.0,30.0
221.0,296770,0.0,30.0
222.0,34965,0.0,30.0
223.0,271930,0.0,30.0
224.0,312830,0.0,30.0
225.0,294911,0.0,30.0
226.0,268613,0.0,30.0
227.0,18812,0.0,30.0
228.0,290118,0.0,30.0
229.0,294078,0.0,30.0
230.0,320869,0.0,30.0
231.0,283476,0.0,30.0
232.0,1149,0.0,30.0
233.0,312232,0.0,30.0
234.0,356678,0.0,30.0
235.0,298758,0.0,30.0
236.0,276452,0.0,30.0
237.0,2307,0.0,30.0
238.0,308336,0.0,30.0
239.0,810,0.0,30.0
240.0,345314,0.0,30.0
241.0,1866,0.0,30.0
242.0,119,0.0,30.0
243.0,376804,0.0,30.0
244.0,343364,0.0,30.0
245.0,377520,0.0,30.0
246.0,353272,0.0,30.0
247.0,308499,0.0,30.0
248.0,2937,0.0,30.0
249.0,296718,0.0,30.0
250.0,315353,0.0,30.0
251.0,340437,0.0,30.0
252.0,333482,0.0,30.0
253.0,3160,0.0,30.0
254.0,364336,0.0,30.0
255.0,379530,0.0,30.0
256.0,385904,0.0,30.0
257.0,396445,0.0,30.0
258.0,1843,0.0,30.0
259.0,405285,0.0,30.0
260.0,364008,0.0,30.0
261.0,389112,0.0,30.0
262.0,320852,0.0,30.0
263.0,2925,0.0,30.0
264.0,348321,0.0,30.0
265.0,337283,0.0,30.0
266.0,385321,0.0,30.0
267.0,174218,0.0,30.0
268.0,147062,0.0,30.0
269.0,296598,0.0,30.0
270.0,306718,0.0,30.0
271.0,331779,0.0,30.0
272.0,293358,0.0,30.0
273.0,601,0.0,30.0
274.0,336090,0.0,30.0
275.0,336559,0.0,30.0
276.0,357280,0.0,30.0
277.0,357697,0.0,30.0
278.0,270,0.0,30.0
279.0,361162,0.0,30.0
280.0,608134,1.0,30.0
281.0,5965,0.0,30.0
282.0,2789,0.0,30.0
283.0,2586,0.0,30.0
284.0,2160,0.0,30.0
285.0,5694,0.0,30.0
286.0,15446,0.0,30.0
287.0,8691,0.0,30.0
288.0,11551,0.0,30.0
289.0,11655,0.0,30.0
290.0,12019,0.0,30.0
291.0,33275,0.0,30.0
292.0,34130,0.0,30.0
293.0,30779,0.0,30.0
294.0,37418,0.0,30.0
295.0,26484,0.0,30.0
296.0,20845,0.0,30.0
297.0,23603,0.0,30.0
298.0,21052,0.0,30.0
299.0,73,0.0,30.0
300.0,80916,0.0,30.0
301.0,35041,0.0,30.0
302.0,38462,0.0,30.0
303.0,44049,0.0,30.0
304.0,1228,0.0,30.0
305.0,2520,0.0,30.0
306.0,52493,0.0,30.0
307.0,370048,0.0,30.0
308.0,110739,0.0,30.0
309.0,12454,0.0,30.0
310.0,52146,0.0,30.0
311.0,76826,0.0,30.0
312.0,32002,0.0,30.0
313.0,32636,0.0,30.0
314.0,2392,0.0,30.0
315.0,67572,0.0,30.0
316.0,10993,0.0,30.0
317.0,30294,0.0,30.0
318.0,2945,0.0,30.0
319.0,1187,0.0,30.0
320.0,243963,0.0,30.0
321.0,52910,0.0,30.0
322.0,28714,0.0,30.0
323.0,52651,0.0,30.0
324.0,10263,0.0,30.0
325.0,55964,0.0,30.0
326.0,74749,0.0,30.0
327.0,101046,0.0,30.0
328.0,88202,0.0,30.0
329.0,14045,0.0,30.0
330.0,107404,0.0,30.0
331.0,156295,0.0,30.0
332.0,157237,0.0,30.0
333.0,147432,0.0,30.0
334.0,44351,0.0,30.0
335.0,145889,0.0,30.0
336.0,229141,0.0,30.0
337.0,135822,0.0,30.0
338.0,195431,0.0,30.0
339.0,144424,0.0,30.0
340.0,0,0.0,30.0
341.0,187373,0.0,30.0
342.0,156932,0.0,30.0
343.0,260584,0.0,30.0
344.0,27459,0.0,30.0
345.0,645,0.0,30.0
346.0,216858,0.0,30.0
347.0,272113,0.0,30.0
348.0,262035,0.0,30.0
349.0,353595,0.0,30.0
350.0,645,0.0,30.0
351.0,933,0.0,30.0
352.0,360683,0.0,30.0
353.0,301447,0.0,30.0
354.0,353355,0.0,30.0
355.0,106279,0.0,30.0
356.0,314393,0.0,30.0
357.0,363093,0.0,30.0
358.0,305259,0.0,30.0
359.0,314209,0.0,30.0
360.0,32515,0.0,30.0
361.0,2229,0.0,30.0
362.0,396718,0.0,30.0
363.0,314356,0.0,30.0
364.0,237907,0.0,30.0
365.0,21569,0.0,30.0
366.0,320986,0.0,30.0
367.0,254972,0.0,30.0
368.0,337287,0.0,30.0
369.0,253978,0.0,30.0
370.0,118380,0.0,30.0
371.0,258710,0.0,30.0
372.0,259991,0.0,30.0
373.0,245089,0.0,30.0
374.0,267880,0.0,30.0
375.0,139030,0.0,30.0
376.0,260495,0.0,30.0
377.0,217404,0.0,30.0
378.0,218923,0.0,30.0
379.0,249481,0.0,30.0
380.0,56618,0.0,30.0
381.0,137131,0.0,30.0
382.0,112488,0.0,30.0
383.0,46004,0.0,30.0
384.0,11657,0.0,30.0
385.0,1093,0.0,30.0
386.0,1897,0.0,30.0
387.0,1346,0.0,30.0
388.0,3620,0.0,30.0
389.0,614,0.0,30.0
390.0,4502,0.0,30.0
391.0,3119,0.0,30.0
392.0,8,0.0,30.0
393.0,0,0.0,30.0
394.0,119,0.0,30.0
395.0,1179,0.0,30.0
396.0,11998,0.0,30.0
397.0,937,0.0,30.0
398.0,0,0.0,30.0
399.0,739,0.0,30.0
400.0,3420,0.0,30.0
401.0,3509,0.0,30.0
402.0,759,0.0,30.0
403.0,440,0.0,30.0
404.0,0,0.0,30.0
405.0,864,0.0,30.0
406.0,12,0.0,30.0
407.0,1010,0.0,30.0
408.0,300510,0.0,30.0
409.0,277814,0.0,30.0
410.0,245281,0.0,30.0
411.0,2228,0.0,30.0
412.0,249792,0.0,30.0
413.0,220882,0.0,30.0
414.0,239154,0.0,30.0
415.0,212798,0.0,30.0
416.0,22813,0.0,30.0
417.0,233883,0.0,30.0
418.0,181081,0.0,30.0
419.0,213032,0.0,30.0
420.0,207387,0.0,30.0
421.0,11507,0.0,30.0
422.0,203116,0.0,30.0
423.0,197342,0.0,30.0
424.0,174452,0.0,30.0
425.0,233142,0.0,30.0
426.0,234858,0.0,30.0
427.0,2658,0.0,30.0
428.0,13061,0.0,30.0
429.0,144782,0.0,30.0
430.0,122647,0.0,30.0
431.0,134397,0.0,30.0
432.0,37990,0.0,30.0
433.0,152509,0.0,30.0
434.0,160081,0.0,30.0
435.0,2318,0.0,30.0
436.0,535956,0.0,30.0
437.0,38,0.0,30.0
438.0,1136,0.0,30.0
439.0,373595,0.0,30.0
440.0,324737,0.0,30.0
441.0,299552,0.0,30.0
442.0,1413,0.0,30.0
443.0,319344,0.0,30.0
444.0,280633,0.0,30.0
445.0,299745,0.0,30.0
446.0,227615,0.0,30.0
447.0,164504,0.0,30.0
448.0,272904,0.0,30.0
449.0,257899,0.0,30.0
450.0,310231,0.0,30.0
451.0,255959,0.0,30.0
452.0,142311,0.0,30.0
453.0,270231,0.0,30.0
454.0,256811,0.0,30.0
455.0,259071,0.0,30.0
456.0,230799,0.0,30.0
457.0,13721,0.0,30.0
458.0,240310,0.0,30.0
459.0,243620,0.0,30.0
460.0,654961,1.0,30.0
461.0,256598,0.0,30.0
462.0,425,0.0,30.0
463.0,369523,0.0,30.0
464.0,393617,0.0,30.0
465.0,306518,0.0,30.0
466.0,11322,0.0,30.0
467.0,125643,0.0,30.0
468.0,394565,0.0,30.0
469.0,319265,0.0,30.0
470.0,358290,0.0,30.0
471.0,312975,0.0,30.0
472.0,302024,0.0,30.0
473.0,83892,0.0,30.0
474.0,313552,0.0,30.0
475.0,332037,0.0,30.0
476.0,320888,0.0,30.0
477.0,339310,0.0,30.0
478.0,146502,0.0,30.0
479.0,387792,0.0,30.0
480.0,419377,0.0,30.0
481.0,450372,0.0,30.0
482.0,368304,0.0,30.0
483.0,73,0.0,30.0
484.0,462853,0.0,30.0
485.0,327472,0.0,30.0
486.0,431737,0.0,30.0
487.0,330312,0.0,30.0
488.0,1316,0.0,30.0
489.0,368821,0.0,30.0
490.0,367739,0.0,30.0
491.0,377090,0.0,30.0
492.0,0,0.0,30.0
493.0,1290,0.0,30.0
494.0,433411,0.0,30.0
495.0,13378,0.0,30.0
496.0,464321,0.0,30.0
497.0,321354,0.0,30.0
498.0,4,0.0,30.0
499.0,450472,0.0,30.0
500.0,389334,0.0,30.0
501.0,383442,0.0,30.0
502.0,335166,0.0,30.0
503.0,1875,0.0,30.0
504.0,453421,0.0,30.0
505.0,345688,0.0,30.0
506.0,415195,0.0,30.0
507.0,309331,0.0,30.0
508.0,4172,0.0,30.0
509.0,432697,0.0,30.0
510.0,360426,0.0,30.0
511.0,28684,0.0,30.0
512.0,436264,0.0,30.0
513.0,5423,0.0,30.0
514.0,445684,0.0,30.0
515.0,295763,0.0,30.0
516.0,419065,0.0,30.0
517.0,327682,0.0,30.0
518.0,377925,0.0,30.0
519.0,3428,0.0,30.0
520.0,400569,0.0,30.0
521.0,376757,0.0,30.0
522.0,308961,0.0,30.0
523.0,221160,0.0,30.0
524.0,3910,0.0,30.0
525.0,307115,0.0,30.0
526.0,363495,0.0,30.0
527.0,363129,0.0,30.0
528.0,341973,0.0,30.0
529.0,6108,0.0,30.0
530.0,365082,0.0,30.0
531.0,300570,0.0,30.0
532.0,279265,0.0,30.0
533.0,256006,0.0,30.0
534.0,1760,0.0,30.0
535.0,327055,0.0,30.0
536.0,11246,0.0,30.0
537.0,427298,0.0,30.0
538.0,292753,0.0,30.0
539.0,7034,0.0,30.0
540.0,362684,0.0,30.0
541.0,92232,0.0,30.0
542.0,330672,0.0,30.0
543.0,264547,0.0,30.0
544.0,10469,0.0,30.0
545.0,347607,0.0,30.0
546.0,16358,0.0,30.0
547.0,383546,0.0,30.0
548.0,8711,0.0,30.0
549.0,30725,0.0,30.0
550.0,416677,0.0,30.0
551.0,251188,0.0,30.0
552.0,369366,0.0,30.0
553.0,260209,0.0,30.0
554.0,11196,0.0,30.0
555.0,387491,0.0,30.0
556.0,314050,0.0,30.0
557.0,422862,0.0,30.0
558.0,309250,0.0,30.0
559.0,283068,0.0,30.0
560.0,166,0.0,30.0
561.0,314118,0.0,30.0
562.0,339005,0.0,30.0
563.0,264171,0.0,30.0
564.0,276550,0.0,30.0
565.0,11195,0.0,30.0
566.0,244131,0.0,30.0
567.0,193848,0.0,30.0
568.0,220982,0.0,30.0
569.0,213580,0.0,30.0
570.0,91930,0.0,30.0
571.0,229710,0.0,30.0
572.0,232062,0.0,30.0
573.0,254697,0.0,30.0
574.0,240298,0.0,30.0
575.0,12491,0.0,30.0
576.0,251876,0.0,30.0
577.0,276666,0.0,30.0
578.0,272199,0.0,30.0
579.0,328386,0.0,30.0
580.0,13451,0.0,30.0
581.0,291383,0.0,30.0
582.0,335010,0.0,30.0
583.0,277047,0.0,30.0
584.0,46914,0.0,30.0
585.0,49444,0.0,30.0
586.0,318686,0.0,30.0
587.0,288862,0.0,30.0
588.0,10629,0.0,30.0
589.0,390765,0.0,30.0
590.0,145606,0.0,30.0
591.0,293384,0.0,30.0
592.0,312332,0.0,30.0
