frame_ind,key_moment,fps
0,1.0,23.976023976023978
1,0.0,23.976023976023978
2,0.0,23.976023976023978
3,0.0,23.976023976023978
4,0.0,23.976023976023978
5,0.0,23.976023976023978
6,0.0,23.976023976023978
7,0.0,23.976023976023978
8,0.0,23.976023976023978
9,0.0,23.976023976023978
10,0.0,23.976023976023978
11,0.0,23.976023976023978
12,0.0,23.976023976023978
13,0.0,23.976023976023978
14,0.0,23.976023976023978
15,0.0,23.976023976023978
16,0.0,23.976023976023978
17,0.0,23.976023976023978
18,0.0,23.976023976023978
19,0.0,23.976023976023978
20,0.0,23.976023976023978
21,0.0,23.976023976023978
22,0.0,23.976023976023978
23,0.0,23.976023976023978
24,0.0,23.976023976023978
25,0.0,23.976023976023978
26,0.0,23.976023976023978
27,0.0,23.976023976023978
28,0.0,23.976023976023978
29,0.0,23.976023976023978
30,0.0,23.976023976023978
31,0.0,23.976023976023978
32,0.0,23.976023976023978
33,0.0,23.976023976023978
34,0.0,23.976023976023978
35,0.0,23.976023976023978
36,0.0,23.976023976023978
37,0.0,23.976023976023978
38,0.0,23.976023976023978
39,0.0,23.976023976023978
40,0.0,23.976023976023978
41,0.0,23.976023976023978
42,0.0,23.976023976023978
43,0.0,23.976023976023978
44,0.0,23.976023976023978
45,0.0,23.976023976023978
46,0.0,23.976023976023978
47,0.0,23.976023976023978
48,0.0,23.976023976023978
49,0.0,23.976023976023978
50,0.0,23.976023976023978
51,0.0,23.976023976023978
52,0.0,23.976023976023978
53,0.0,23.976023976023978
54,0.0,23.976023976023978
55,0.0,23.976023976023978
56,0.0,23.976023976023978
57,0.0,23.976023976023978
58,0.0,23.976023976023978
59,0.0,23.976023976023978
60,0.0,23.976023976023978
61,0.0,23.976023976023978
62,0.0,23.976023976023978
63,0.0,23.976023976023978
64,0.0,23.976023976023978
65,0.0,23.976023976023978
66,0.0,23.976023976023978
67,0.0,23.976023976023978
68,0.0,23.976023976023978
69,0.0,23.976023976023978
70,0.0,23.976023976023978
71,0.0,23.976023976023978
72,0.0,23.976023976023978
73,0.0,23.976023976023978
74,0.0,23.976023976023978
75,0.0,23.976023976023978
76,0.0,23.976023976023978
77,0.0,23.976023976023978
78,0.0,23.976023976023978
79,0.0,23.976023976023978
80,0.0,23.976023976023978
81,0.0,23.976023976023978
82,0.0,23.976023976023978
83,0.0,23.976023976023978
84,0.0,23.976023976023978
85,0.0,23.976023976023978
86,0.0,23.976023976023978
87,0.0,23.976023976023978
88,0.0,23.976023976023978
89,0.0,23.976023976023978
90,0.0,23.976023976023978
91,0.0,23.976023976023978
92,0.0,23.976023976023978
93,0.0,23.976023976023978
94,0.0,23.976023976023978
95,1.0,23.976023976023978
96,0.0,23.976023976023978
97,0.0,23.976023976023978
98,0.0,23.976023976023978
99,0.0,23.976023976023978
100,0.0,23.976023976023978
101,0.0,23.976023976023978
102,0.0,23.976023976023978
103,0.0,23.976023976023978
104,0.0,23.976023976023978
105,0.0,23.976023976023978
106,0.0,23.976023976023978
107,0.0,23.976023976023978
108,0.0,23.976023976023978
109,0.0,23.976023976023978
110,0.0,23.976023976023978
111,0.0,23.976023976023978
112,1.0,23.976023976023978
113,0.0,23.976023976023978
114,0.0,23.976023976023978
115,0.0,23.976023976023978
116,0.0,23.976023976023978
117,0.0,23.976023976023978
118,0.0,23.976023976023978
119,0.0,23.976023976023978
120,0.0,23.976023976023978
121,0.0,23.976023976023978
122,0.0,23.976023976023978
123,0.0,23.976023976023978
124,0.0,23.976023976023978
125,0.0,23.976023976023978
126,0.0,23.976023976023978
127,0.0,23.976023976023978
128,0.0,23.976023976023978
129,0.0,23.976023976023978
130,0.0,23.976023976023978
131,0.0,23.976023976023978
132,0.0,23.976023976023978
133,0.0,23.976023976023978
134,0.0,23.976023976023978
135,0.0,23.976023976023978
136,0.0,23.976023976023978
137,0.0,23.976023976023978
138,0.0,23.976023976023978
139,0.0,23.976023976023978
140,0.0,23.976023976023978
141,1.0,23.976023976023978
142,0.0,23.976023976023978
143,0.0,23.976023976023978
144,0.0,23.976023976023978
145,0.0,23.976023976023978
146,0.0,23.976023976023978
147,0.0,23.976023976023978
148,0.0,23.976023976023978
149,0.0,23.976023976023978
150,0.0,23.976023976023978
151,0.0,23.976023976023978
152,0.0,23.976023976023978
153,0.0,23.976023976023978
154,0.0,23.976023976023978
155,0.0,23.976023976023978
156,0.0,23.976023976023978
157,0.0,23.976023976023978
158,0.0,23.976023976023978
159,0.0,23.976023976023978
160,1.0,23.976023976023978
161,0.0,23.976023976023978
162,0.0,23.976023976023978
163,0.0,23.976023976023978
164,0.0,23.976023976023978
165,0.0,23.976023976023978
166,0.0,23.976023976023978
